Latitude;Longitude;Speed;Time (absolute)
-2244.281600;-4732.084200;76.506120;1543678841.303069
-2244.281600;-4732.084200;76.506120;1543678841.406722
-2244.279200;-4732.084400;80.432360;1543678841.507662
-2244.279200;-4732.084400;80.432360;1543678841.635516
-2244.276700;-4732.084500;81.951000;1543678841.741957
-2244.274400;-4732.084400;80.987960;1543678841.855046
-2244.274400;-4732.084400;80.987960;1543678841.955469
-2244.272000;-4732.084400;79.524880;1543678842.082077
-2244.272000;-4732.084400;79.524880;1543678842.166678
-2244.269800;-4732.084200;73.154000;1543678842.306304
-2244.269800;-4732.084200;73.154000;1543678842.413547
-2244.268000;-4732.083800;66.357160;1543678842.518827
-2244.268000;-4732.083800;66.357160;1543678842.618728
-2244.266200;-4732.083400;60.764120;1543678842.750780
-2244.264500;-4732.083100;55.134040;1543678842.864587
-2244.264500;-4732.083100;55.134040;1543678842.952504
-2244.263000;-4732.082800;53.263520;1543678843.074270
-2244.263000;-4732.082800;53.263520;1543678843.172106
-2244.261600;-4732.082800;46.114800;1543678843.277752
-2244.261600;-4732.082800;46.114800;1543678843.385097
-2244.260500;-4732.082800;40.243960;1543678843.489559
-2244.260500;-4732.082800;40.243960;1543678843.629953
-2244.259600;-4732.082800;34.799080;1543678843.730425
-2244.259600;-4732.082800;34.799080;1543678843.846710
-2244.258800;-4732.082600;29.280120;1543678843.958741
-2244.258000;-4732.082400;28.057800;1543678844.081648
-2244.258000;-4732.082400;28.057800;1543678844.190507
-2244.257300;-4732.082000;24.446400;1543678844.311126
-2244.257300;-4732.082000;24.446400;1543678844.419626
-2244.257100;-4732.081200;25.261280;1543678844.538360
-2244.257100;-4732.080300;25.316840;1543678844.668630
-2244.257100;-4732.080300;25.316840;1543678844.788127
-2244.257000;-4732.079400;26.372480;1543678844.887075
-2244.257000;-4732.079400;26.372480;1543678845.003700
-2244.256900;-4732.078600;26.298400;1543678845.116844
-2244.256900;-4732.078600;26.298400;1543678845.198788
-2244.256500;-4732.077900;24.057480;1543678845.318673
